Draw Number,P(Ti),P(Tv),P(mutS)
1,0.499696,0.4002248,0.1000792
2,0.5200176,0.3801459,0.0998365
3,0.5399581,0.3601302,0.0999117
4,0.5602575,0.3397674,0.0999751
5,0.5798222,0.3202016,0.0999762
6,0.6043269,0.298723,0.0969501
7,0.635364,0.2754502,0.0891858
8,0.6725456,0.2499858,0.0774686
9,0.7133208,0.2230592,0.06362
10,0.7540484,0.1959852,0.0499664
11,0.7926079,0.1696839,0.0377082
12,0.8278241,0.1446579,0.027518
13,0.8587904,0.1218172,0.0193924
14,0.8852612,0.1014402,0.0132986
15,0.9072718,0.0837997,0.0089285
16,0.9257167,0.0683944,0.0058889
17,0.9406836,0.0554612,0.0038552
18,0.9527814,0.0447688,0.0024498
19,0.9626725,0.0357829,0.0015446
20,0.9705032,0.0285389,0.0009579
21,0.9768358,0.0225715,0.0005927
22,0.9818211,0.0178247,0.0003542
23,0.9857814,0.0140056,0.000213
24,0.9889996,0.0108669,0.0001335
25,0.9914548,0.0084594,8.58e-05
26,0.9933827,0.0065723,4.5e-05
27,0.9948816,0.0050912,2.72e-05
28,0.9960452,0.0039402,1.46e-05
29,0.9969953,0.0029958,8.9e-06
30,0.9976713,0.002323,5.7e-06
31,0.9981875,0.0018093,3.2e-06
32,0.9986574,0.0013409,1.7e-06
33,0.9989731,0.0010256,1.3e-06
34,0.999199,0.0008003,7e-07
35,0.9994189,0.0005808,3e-07
36,0.9995573,0.0004424,3e-07
37,0.9996607,0.0003392,1e-07
38,0.9997507,0.0002493,0.0
39,0.9998158,0.0001841,1e-07
40,0.9998577,0.0001423,0.0
41,0.9998935,0.0001065,0.0
42,0.9999159,8.41e-05,0.0
43,0.99994,6e-05,0.0
44,0.9999586,4.14e-05,0.0
45,0.9999566,4.34e-05,0.0
46,0.9999186,8.14e-05,0.0
