Draw Number,P(Ti),P(Tv),P(mutS)
1,0.4996713,0.4004521,0.0998766
2,0.5000324,0.40011,0.0998576
3,0.4997113,0.4002784,0.1000103
4,0.5001524,0.3999642,0.0998834
5,0.5001469,0.3997888,0.1000643
6,0.515638,0.3871779,0.0971841
7,0.5543311,0.3565506,0.0891183
8,0.6133274,0.3093556,0.077317
9,0.6818014,0.2545318,0.0636668
10,0.7499697,0.20002,0.0500103
11,0.8114496,0.1507627,0.0377877
12,0.8629398,0.1096618,0.0273984
13,0.9032503,0.0773778,0.0193719
14,0.9333102,0.0533748,0.013315
15,0.9551613,0.0358617,0.008977
16,0.9704076,0.0236976,0.0058948
17,0.9808341,0.0153371,0.0038288
18,0.9877778,0.0097858,0.0024364
19,0.9923329,0.0061316,0.0015355
20,0.9952137,0.0038203,0.000966
21,0.9970181,0.0023825,0.0005994
22,0.99821,0.001434,0.000356
23,0.9989092,0.0008706,0.0002202
24,0.9993351,0.0005241,0.0001408
25,0.9996116,0.0003115,7.69e-05
26,0.9997646,0.0001884,4.7e-05
27,0.9998703,0.0001043,2.54e-05
28,0.9999223,6.44e-05,1.33e-05
29,0.9999596,3.12e-05,9.2e-06
30,0.9999743,1.95e-05,6.2e-06
31,0.9999838,1.37e-05,2.5e-06
32,0.9999924,6e-06,1.6e-06
33,0.9999958,3.6e-06,6e-07
34,0.9999977,2.2e-06,1e-07
35,0.9999981,1.6e-06,3e-07
36,0.9999989,8e-07,3e-07
37,0.9999994,6e-07,0.0
38,0.9999998,2e-07,0.0
39,1.0,0.0,0.0
40,1.0,0.0,0.0
41,0.9999998,2e-07,0.0
42,1.0,0.0,0.0
43,1.0,0.0,0.0
44,1.0,0.0,0.0
45,1.0,0.0,0.0
46,1.0,0.0,0.0
