Draw Number,P(Ti),P(Tv),P(mutS)
1,0.4999406,0.4000648,0.0999946
2,0.5474777,0.3523609,0.1001614
3,0.5950017,0.3050046,0.0999937
4,0.6426133,0.2572823,0.1001044
5,0.6899287,0.2100862,0.0999851
6,0.7376955,0.1653954,0.0969091
7,0.7839822,0.12698,0.0890378
8,0.8271433,0.0954575,0.0773992
9,0.8647076,0.0717157,0.0635767
10,0.8956676,0.0543317,0.0500007
11,0.91999,0.0422608,0.0377492
12,0.9386275,0.0339732,0.0273993
13,0.9521177,0.0286085,0.0192738
14,0.961726,0.0249374,0.0133366
15,0.968364,0.022679,0.008957
16,0.9731148,0.0210098,0.0058754
17,0.9760429,0.0201176,0.0038395
18,0.978028,0.0195312,0.0024408
19,0.9793364,0.0191311,0.0015325
20,0.9802105,0.0188371,0.0009524
21,0.9808867,0.0185245,0.0005888
22,0.9812767,0.0183697,0.0003536
23,0.9815088,0.0182726,0.0002186
24,0.9818213,0.0180506,0.0001281
25,0.9820323,0.0178878,7.99e-05
26,0.9821715,0.0177825,4.6e-05
27,0.9824331,0.0175399,2.7e-05
28,0.9825003,0.0174839,1.58e-05
29,0.9826424,0.0173478,9.8e-06
30,0.9827575,0.0172364,6.1e-06
31,0.9828721,0.0171251,2.8e-06
32,0.9829258,0.0170724,1.8e-06
33,0.9831688,0.0168299,1.3e-06
34,0.9832455,0.0167539,6e-07
35,0.9834115,0.0165883,2e-07
36,0.9835491,0.0164505,4e-07
37,0.9837645,0.0162355,0.0
38,0.9837527,0.0162473,0.0
39,0.9839181,0.0160819,0.0
40,0.9840578,0.0159422,0.0
41,0.9841411,0.0158589,0.0
42,0.984266,0.015734,0.0
43,0.913594,0.086406,0.0
44,0.7700007,0.2299993,0.0
45,0.5884353,0.4115647,0.0
46,0.3931504,0.6068496,0.0
