Draw Number,P(Ti),P(Tv),P(mutS)
1,0.4998071,0.4001998,0.0999931
2,0.5142504,0.3857874,0.0999622
3,0.5279537,0.371928,0.1001183
4,0.5422008,0.3578431,0.0999561
5,0.5562107,0.3438609,0.0999284
6,0.5764161,0.3266681,0.0969158
7,0.6076146,0.303445,0.0889404
8,0.6482747,0.2744009,0.0773244
9,0.6950558,0.2412936,0.0636506
10,0.7438271,0.2060674,0.0501055
11,0.7898911,0.1723777,0.0377312
12,0.8319725,0.1405323,0.0274952
13,0.8679718,0.1126747,0.0193535
14,0.8977712,0.0888703,0.0133585
15,0.9222219,0.0687879,0.0089902
16,0.9411441,0.0529534,0.0059025
17,0.9559663,0.0401994,0.0038343
18,0.9674443,0.0300979,0.0024578
19,0.9760697,0.0223863,0.001544
20,0.9825651,0.0164836,0.0009513
21,0.9873219,0.0120958,0.0005823
22,0.9908372,0.0087913,0.0003715
23,0.9933803,0.0064028,0.0002169
24,0.9953262,0.0045471,0.0001267
25,0.9966407,0.0032787,8.06e-05
26,0.9976095,0.0023476,4.29e-05
27,0.9982974,0.0016749,2.77e-05
28,0.998793,0.0011923,1.47e-05
29,0.9991563,0.0008343,9.4e-06
30,0.9993954,0.0005989,5.7e-06
31,0.9995828,0.0004133,3.9e-06
32,0.9997065,0.0002921,1.4e-06
33,0.9997958,0.0002029,1.3e-06
34,0.9998561,0.000143,9e-07
35,0.9998996,0.0001,4e-07
36,0.9999322,6.77e-05,1e-07
37,0.9999521,4.77e-05,2e-07
38,0.9999663,3.37e-05,0.0
39,0.9999763,2.37e-05,0.0
40,0.9999846,1.54e-05,0.0
41,0.9999878,1.22e-05,0.0
42,0.9999931,6.9e-06,0.0
43,0.999994,5.9e-06,1e-07
44,0.9999963,3.7e-06,0.0
45,0.9999956,4.4e-06,0.0
46,0.999994,6e-06,0.0
