Draw Number,P(Ti),P(Tv),P(mutS)
1,0.5001395,0.3998136,0.1000469
2,0.5301192,0.3698122,0.1000686
3,0.559887,0.3401353,0.0999777
4,0.5900268,0.3098406,0.1001326
5,0.619851,0.280207,0.099942
6,0.6522396,0.2508075,0.0969529
7,0.6867644,0.2241405,0.0890951
8,0.7225996,0.200242,0.0771584
9,0.7570726,0.1792587,0.0636687
10,0.7896502,0.1603556,0.0499942
11,0.8186018,0.1437343,0.0376639
12,0.843246,0.1292582,0.0274958
13,0.8643036,0.1163988,0.0192976
14,0.8821181,0.1045359,0.013346
15,0.8971947,0.0937654,0.0090399
16,0.9102759,0.0838418,0.0058823
17,0.9210011,0.0751922,0.0038067
18,0.9306322,0.0668993,0.0024685
19,0.9388795,0.0595816,0.0015389
20,0.9463431,0.0526959,0.000961
21,0.9527947,0.0466322,0.0005731
22,0.9585001,0.0411417,0.0003582
23,0.963611,0.0361723,0.0002167
24,0.9681816,0.0316872,0.0001312
25,0.972208,0.0277151,7.69e-05
26,0.9756325,0.0243226,4.49e-05
27,0.9788883,0.0210867,2.5e-05
28,0.9816139,0.0183711,1.5e-05
29,0.9840405,0.0159507,8.8e-06
30,0.9862194,0.0137744,6.2e-06
31,0.9880959,0.011902,2.1e-06
32,0.989723,0.0102752,1.8e-06
33,0.9911339,0.0088648,1.3e-06
34,0.9923857,0.0076137,6e-07
35,0.9934882,0.0065116,2e-07
36,0.9943848,0.0056149,3e-07
37,0.9951988,0.0048012,0.0
38,0.9958962,0.0041038,0.0
39,0.9965017,0.0034983,0.0
40,0.99703,0.00297,0.0
41,0.997454,0.002546,0.0
42,0.9978355,0.0021645,0.0
43,0.9981196,0.0018804,0.0
44,0.998232,0.001768,0.0
45,0.9974416,0.0025584,0.0
46,0.9944432,0.0055568,0.0
