Draw Number,P(Ti),P(Tv),P(mutS)
1,0.5000238,0.3999334,0.1000428
2,0.539814,0.3601589,0.1000271
3,0.5800762,0.3199697,0.0999541
4,0.6198199,0.2800671,0.100113
5,0.66017,0.2397309,0.1000991
6,0.701029,0.2022484,0.0967226
7,0.7415716,0.1692956,0.0891328
8,0.7801186,0.14254,0.0773414
9,0.8151553,0.1211914,0.0636533
10,0.8451848,0.1048415,0.0499737
11,0.869171,0.093133,0.037696
12,0.8887415,0.0838299,0.0274286
13,0.903337,0.0772819,0.0193811
14,0.9145604,0.0720998,0.0133398
15,0.9231349,0.0679494,0.0089157
16,0.9294482,0.0646343,0.0059175
17,0.9345634,0.0616152,0.0038214
18,0.9388262,0.0587365,0.0024373
19,0.942093,0.0563625,0.0015445
20,0.9451913,0.0538466,0.0009621
21,0.9480037,0.0514011,0.0005952
22,0.9502922,0.0493434,0.0003644
23,0.9526522,0.0471337,0.0002141
24,0.954737,0.0451368,0.0001262
25,0.956924,0.0429953,8.07e-05
26,0.958857,0.0410927,5.03e-05
27,0.9608651,0.0391052,2.97e-05
28,0.9627106,0.0372733,1.61e-05
29,0.9643486,0.0356427,8.7e-06
30,0.9662123,0.0337827,5e-06
31,0.9679621,0.0320353,2.6e-06
32,0.9694463,0.0305523,1.4e-06
33,0.9710114,0.0289881,5e-07
34,0.9725581,0.0274413,6e-07
35,0.9739716,0.0260281,3e-07
36,0.975361,0.0246388,2e-07
37,0.9767558,0.0232442,0.0
38,0.9780001,0.0219998,1e-07
39,0.9791932,0.0208068,0.0
40,0.9803582,0.0196418,0.0
41,0.9815004,0.0184996,0.0
42,0.9825141,0.0174859,0.0
43,0.9808387,0.0191613,0.0
44,0.9680166,0.0319834,0.0
45,0.9320713,0.0679287,0.0
46,0.8628083,0.1371917,0.0
