Draw Number,P(Ti),P(Tv),P(mutS)
1,0.5000817,0.3997924,0.1001259
2,0.5449248,0.3549588,0.1001164
3,0.5903209,0.3098151,0.099864
4,0.6347198,0.2652887,0.0999915
5,0.680063,0.2198674,0.1000696
6,0.7254922,0.1776104,0.0968974
7,0.7697775,0.1411226,0.0890999
8,0.8113893,0.1113612,0.0772495
9,0.8478793,0.0884839,0.0636368
10,0.8780312,0.071974,0.0499948
11,0.9024398,0.0598682,0.037692
12,0.9207399,0.0518619,0.0273982
13,0.9342889,0.0463322,0.0193789
14,0.944104,0.0425917,0.0133043
15,0.9510683,0.0399677,0.008964
16,0.9560398,0.0380108,0.0059494
17,0.9593898,0.0367838,0.0038264
18,0.9618292,0.0357355,0.0024353
19,0.9634943,0.0349493,0.0015564
20,0.9649077,0.0341287,0.0009636
21,0.9658953,0.0335184,0.0005863
22,0.9667125,0.0329231,0.0003644
23,0.9674759,0.0323065,0.0002176
24,0.9681576,0.0317118,0.0001306
25,0.9687016,0.0312223,7.61e-05
26,0.9693492,0.030606,4.48e-05
27,0.9698446,0.0301268,2.86e-05
28,0.9703901,0.0295949,1.5e-05
29,0.9709961,0.0289952,8.7e-06
30,0.9714068,0.0285872,6e-06
31,0.9719824,0.028014,3.6e-06
32,0.9724898,0.027508,2.2e-06
33,0.9729706,0.0270285,9e-07
34,0.9735563,0.0264433,4e-07
35,0.9740341,0.0259657,2e-07
36,0.9745092,0.0254906,2e-07
37,0.9751087,0.0248912,1e-07
38,0.9756334,0.0243666,0.0
39,0.9761578,0.0238422,0.0
40,0.9765967,0.0234033,0.0
41,0.977095,0.022905,0.0
42,0.9775614,0.0224386,0.0
43,0.95356,0.04644,0.0
44,0.87911,0.12089,0.0
45,0.7522033,0.2477967,0.0
46,0.5875202,0.4124798,0.0
