Draw Number,P(Ti),P(Tv),P(mutS)
1,0.5002068,0.3996994,0.1000938
2,0.549111,0.3507395,0.1001495
3,0.5980366,0.3019399,0.1000235
4,0.6470647,0.2529466,0.0999887
5,0.6959923,0.2039645,0.1000432
6,0.7451845,0.1578831,0.0969324
7,0.7927543,0.1182815,0.0889642
8,0.8366272,0.0860928,0.07728
9,0.874974,0.0613615,0.0636645
10,0.9064321,0.0436291,0.0499388
11,0.9310003,0.0313231,0.0376766
12,0.9496899,0.0228953,0.0274148
13,0.9633669,0.0172318,0.0194013
14,0.9729417,0.0137159,0.0133424
15,0.9796511,0.0114088,0.0089401
16,0.9840893,0.0100399,0.0058708
17,0.9870746,0.0090785,0.0038469
18,0.9889659,0.0085916,0.0024425
19,0.9902015,0.0082484,0.0015501
20,0.9909824,0.0080776,0.00094
21,0.9915179,0.0078871,0.000595
22,0.9917752,0.0078616,0.0003632
23,0.9920499,0.0077353,0.0002148
24,0.9921135,0.0077518,0.0001347
25,0.9922574,0.0076697,7.29e-05
26,0.9922925,0.0076563,5.12e-05
27,0.9923111,0.0076636,2.53e-05
28,0.9923753,0.0076075,1.72e-05
29,0.9923954,0.0075952,9.4e-06
30,0.9924212,0.0075738,5e-06
31,0.992432,0.0075657,2.3e-06
32,0.9924545,0.0075436,1.9e-06
33,0.9924677,0.0075317,6e-07
34,0.9925301,0.0074687,1.2e-06
35,0.9925198,0.0074794,8e-07
36,0.9925401,0.0074596,3e-07
37,0.9926077,0.0073923,0.0
38,0.992601,0.007399,0.0
39,0.992613,0.0073869,1e-07
40,0.9925959,0.0074041,0.0
41,0.9926564,0.0073436,0.0
42,0.9925952,0.0074048,0.0
43,0.8600495,0.1399505,0.0
44,0.6731833,0.3268167,0.0
45,0.4751174,0.5248826,0.0
46,0.2751799,0.7248201,0.0
