Draw Number,P(Ti),P(Tv),P(mutS)
1,0.4999737,0.4445665,0.0554598
2,0.5248798,0.4195895,0.0555307
3,0.5501073,0.3943676,0.0555251
4,0.5751307,0.369255,0.0556143
5,0.6001536,0.3443177,0.0555287
6,0.6250329,0.3194388,0.0555283
7,0.6502393,0.2943728,0.0553879
8,0.6748888,0.269428,0.0556832
9,0.700116,0.2444761,0.0554079
10,0.7247529,0.2197116,0.0555355
11,0.7498893,0.1951394,0.0549713
12,0.7749417,0.1714994,0.0535589
13,0.7992262,0.1492118,0.051562
14,0.8227916,0.1290663,0.0481421
15,0.8449516,0.1112245,0.0438239
16,0.8654097,0.0958063,0.038784
17,0.8834234,0.0833638,0.0332128
18,0.8991515,0.0730646,0.0277839
19,0.912262,0.0650799,0.0226581
20,0.9232094,0.0587971,0.0179935
21,0.9320722,0.0538356,0.0140922
22,0.9388568,0.050459,0.0106842
23,0.9443169,0.0476625,0.0080206
24,0.9482882,0.0458616,0.0058502
25,0.9515712,0.0442428,0.004186
26,0.9537571,0.0432497,0.0029932
27,0.9556129,0.0423194,0.0020677
28,0.9567785,0.041773,0.0014485
29,0.9578359,0.0411795,0.0009846
30,0.9586016,0.0407108,0.0006876
31,0.9591739,0.0403704,0.0004557
32,0.9596679,0.0400297,0.0003024
33,0.9601528,0.0396467,0.0002005
34,0.9607235,0.0391512,0.0001253
35,0.9610348,0.0388874,7.78e-05
36,0.9614162,0.0385322,5.16e-05
37,0.9616697,0.0383005,2.98e-05
38,0.9620568,0.0379239,1.93e-05
39,0.9457033,0.0542833,1.34e-05
40,0.8983699,0.1016244,5.7e-06
41,0.8216511,0.1783446,4.3e-06
42,0.7262902,0.2737069,2.9e-06
43,0.6207616,0.3792362,2.2e-06
44,0.5117091,0.4882899,1e-06
45,0.4011736,0.5988259,5e-07
46,0.2902229,0.7097762,9e-07
