Draw Number,P(Ti),P(Tv),P(mutS)
1,0.499915,0.450084,0.050001
2,0.5223826,0.4276874,0.04993
3,0.5452955,0.4046737,0.0500308
4,0.5675916,0.3824302,0.0499782
5,0.5896622,0.36036,0.0499778
6,0.6123751,0.3375095,0.0501154
7,0.6353174,0.3148168,0.0498658
8,0.6576436,0.2924762,0.0498802
9,0.6799277,0.2701174,0.0499549
10,0.7024147,0.2474473,0.050138
11,0.7248793,0.2251464,0.0499743
12,0.747505,0.202849,0.049646
13,0.7697698,0.1812068,0.0490234
14,0.7920604,0.1601454,0.0477942
15,0.8139158,0.1406014,0.0454828
16,0.8346814,0.1228146,0.042504
17,0.8543129,0.1070901,0.038597
18,0.8721176,0.0936075,0.0342749
19,0.8882602,0.0821616,0.0295782
20,0.9022672,0.0726376,0.0250952
21,0.9140036,0.0653613,0.0206351
22,0.9239136,0.0594319,0.0166545
23,0.9320438,0.0548627,0.0130935
24,0.9385753,0.0513736,0.0100511
25,0.9435278,0.0488049,0.0076673
26,0.9473857,0.046858,0.0057563
27,0.9504657,0.0453041,0.0042302
28,0.9526698,0.0443032,0.003027
29,0.9544277,0.0433844,0.0021879
30,0.9557943,0.0426542,0.0015515
31,0.9566948,0.042233,0.0010722
32,0.9575378,0.0417313,0.0007309
33,0.9581316,0.041369,0.0004994
34,0.9586695,0.040997,0.0003335
35,0.9590722,0.0406954,0.0002324
36,0.959519,0.0403335,0.0001475
37,0.9598587,0.0400396,0.0001017
38,0.9443905,0.0555439,6.56e-05
39,0.9004465,0.0995078,4.57e-05
40,0.8300522,0.1699211,2.67e-05
41,0.7430814,0.256902,1.66e-05
42,0.6479213,0.3520664,1.23e-05
43,0.5495333,0.4504593,7.4e-06
44,0.4500181,0.5499773,4.6e-06
45,0.3499723,0.6500241,3.6e-06
46,0.2499985,0.7499981,3.4e-06
