Draw Number,P(Ti),P(Tv),P(mutS)
1,0.500168,0.4284856,0.0713464
2,0.531807,0.3967413,0.0714517
3,0.5642688,0.3642321,0.0714991
4,0.5966688,0.331958,0.0713732
5,0.6282378,0.3004322,0.07133
6,0.6607096,0.2678383,0.0714521
7,0.6928837,0.2356551,0.0714612
8,0.7252566,0.20375,0.0709934
9,0.7571659,0.1739446,0.0688895
10,0.7888095,0.1463924,0.0647981
11,0.8184299,0.1223575,0.0592126
12,0.8459593,0.1022767,0.051764
13,0.870239,0.0858945,0.0438665
14,0.8911818,0.0730565,0.0357617
15,0.9083104,0.0634667,0.0282229
16,0.9219743,0.0562958,0.0217299
17,0.9326786,0.0510784,0.016243
18,0.940677,0.047444,0.011879
19,0.9466965,0.0448197,0.0084838
20,0.9512847,0.0427467,0.0059686
21,0.9542992,0.0415718,0.004129
22,0.9568244,0.0403711,0.0028045
23,0.9587701,0.0393661,0.0018638
24,0.9598084,0.0389329,0.0012587
25,0.9608003,0.0383863,0.0008134
26,0.9616764,0.0378041,0.0005195
27,0.9623037,0.0373692,0.0003271
28,0.9628258,0.0369616,0.0002126
29,0.9633316,0.0365327,0.0001357
30,0.9637861,0.0361288,8.51e-05
31,0.9642624,0.035685,5.26e-05
32,0.9646171,0.0353548,2.81e-05
33,0.9651087,0.0348723,1.9e-05
34,0.9654636,0.0345253,1.11e-05
35,0.9657834,0.0342109,5.7e-06
36,0.9662556,0.0337412,3.2e-06
37,0.9667637,0.0332342,2.1e-06
38,0.9670901,0.0329089,1e-06
39,0.9673505,0.032649,5e-07
40,0.9677513,0.0322485,2e-07
41,0.9487814,0.0512185,1e-07
42,0.8920479,0.1079518,3e-07
43,0.7974488,0.2025512,0.0
44,0.6770145,0.3229855,0.0
45,0.5430976,0.4569024,0.0
46,0.4033302,0.5966698,0.0
