Draw Number,P(Ti),P(Tv),P(mutS)
1,0.499941,0.0,0.500059
2,0.7499377,0.0,0.2500623
3,0.8750281,0.0,0.1249719
4,0.9374649,0.0,0.0625351
5,0.9688063,0.0,0.0311937
6,0.9843868,0.0,0.0156132
7,0.9921825,0.0,0.0078175
8,0.996132,0.0,0.003868
9,0.9980583,0.0,0.0019417
10,0.9990402,0.0,0.0009598
11,0.9995131,0.0,0.0004869
12,0.9997569,0.0,0.0002431
13,0.9998792,0.0,0.0001208
14,0.9999379,0.0,6.21e-05
15,0.9999668,0.0,3.32e-05
16,0.9999838,0.0,1.62e-05
17,0.9999936,0.0,6.4e-06
18,0.9999955,0.0,4.5e-06
19,0.9999984,0.0,1.6e-06
20,0.9999988,0.0,1.2e-06
21,0.9999993,0.0,7e-07
22,0.9999995,0.0,5e-07
23,0.9999998,0.0,2e-07
24,0.9999997,0.0,3e-07
25,1.0,0.0,0.0
26,1.0,0.0,0.0
27,1.0,0.0,0.0
28,0.9999999,0.0,1e-07
29,1.0,0.0,0.0
30,1.0,0.0,0.0
31,1.0,0.0,0.0
32,1.0,0.0,0.0
33,1.0,0.0,0.0
34,1.0,0.0,0.0
35,1.0,0.0,0.0
36,1.0,0.0,0.0
37,1.0,0.0,0.0
38,1.0,0.0,0.0
39,1.0,0.0,0.0
40,1.0,0.0,0.0
41,1.0,0.0,0.0
42,1.0,0.0,0.0
43,1.0,0.0,0.0
44,1.0,0.0,0.0
45,1.0,0.0,0.0
46,1.0,0.0,0.0
