Draw Number,P(Ti),P(Tv),P(mutS)
1,0.4999415,0.3749671,0.1250914
2,0.5565742,0.318427,0.1249988
3,0.6126999,0.262406,0.1248941
4,0.6687406,0.2064797,0.1247797
5,0.7260373,0.15683,0.1171327
6,0.7801709,0.1181942,0.1016349
7,0.8284098,0.0895674,0.0820228
8,0.8675691,0.0698698,0.0625611
9,0.8979033,0.0566206,0.0454761
10,0.9204591,0.0478198,0.0317211
11,0.9363469,0.0420799,0.0215732
12,0.9473913,0.0384525,0.0141562
13,0.9549368,0.0359274,0.0091358
14,0.9602085,0.0340297,0.0057618
15,0.9636201,0.0328405,0.0035394
16,0.9659556,0.0318221,0.0022223
17,0.9676953,0.0309366,0.0013681
18,0.9690475,0.0301487,0.0008038
19,0.9700181,0.0295134,0.0004685
20,0.9710036,0.0287133,0.0002831
21,0.9717417,0.0280941,0.0001642
22,0.9724774,0.0274299,9.27e-05
23,0.9731897,0.0267634,4.69e-05
24,0.9737926,0.0261765,3.09e-05
25,0.9744941,0.0254871,1.88e-05
26,0.9751252,0.024867,7.8e-06
27,0.9757378,0.0242555,6.7e-06
28,0.9762578,0.0237392,3e-06
29,0.9769264,0.0230717,1.9e-06
30,0.9774734,0.0225257,9e-07
31,0.978104,0.0218957,3e-07
32,0.9785552,0.0214442,6e-07
33,0.9790948,0.0209052,0.0
34,0.9796543,0.0203456,1e-07
35,0.9802427,0.0197573,0.0
36,0.9808117,0.0191882,1e-07
37,0.9812728,0.0187271,1e-07
38,0.981738,0.018262,0.0
39,0.982268,0.017732,0.0
40,0.9828219,0.017178,1e-07
41,0.9833207,0.0166793,0.0
42,0.9836884,0.0163116,0.0
43,0.9842257,0.0157743,0.0
44,0.9556483,0.0443517,0.0
45,0.8658533,0.1341467,0.0
46,0.7107547,0.2892453,0.0
