Draw Number,P(Ti),P(Tv),P(mutS)
1,0.49985,0.466776,0.033374
2,0.5149467,0.4517524,0.0333009
3,0.5300373,0.4366435,0.0333192
4,0.5448176,0.4218499,0.0333325
5,0.5598894,0.4068472,0.0332634
6,0.5751922,0.3915707,0.0332371
7,0.5898605,0.3768881,0.0332514
8,0.6048374,0.361746,0.0334166
9,0.6200945,0.3465711,0.0333344
10,0.6349615,0.3317448,0.0332937
11,0.6497973,0.3168615,0.0333412
12,0.6649463,0.3016771,0.0333766
13,0.6799655,0.2866016,0.0334329
14,0.6951068,0.2715721,0.0333211
15,0.7101644,0.256526,0.0333096
16,0.7251683,0.2414921,0.0333396
17,0.7401211,0.2266657,0.0332132
18,0.7548995,0.2117892,0.0333113
19,0.7699206,0.1968841,0.0331953
20,0.7848464,0.1820089,0.0331447
21,0.8000226,0.1672831,0.0326943
22,0.8146139,0.1534332,0.0319529
23,0.8290171,0.1398826,0.0311003
24,0.8434739,0.1266649,0.0298612
25,0.8569632,0.1147821,0.0282547
26,0.8699477,0.1037934,0.0262589
27,0.8820597,0.0939308,0.0240095
28,0.8930268,0.0852673,0.0217059
29,0.903325,0.077557,0.019118
30,0.9121036,0.0712017,0.0166947
31,0.9199259,0.0658312,0.0142429
32,0.9268622,0.0611413,0.0119965
33,0.9188556,0.0712727,0.0098717
34,0.8889021,0.1029419,0.008156
35,0.8412169,0.1522707,0.0065124
36,0.7835107,0.2113086,0.0051807
37,0.7211441,0.274761,0.0040949
38,0.6571759,0.3396761,0.003148
39,0.5920188,0.4055861,0.0023951
40,0.5264426,0.4717641,0.0017933
41,0.460633,0.538017,0.00135
42,0.3945615,0.6044203,0.0010182
43,0.3282872,0.6709278,0.000785
44,0.2619065,0.7374766,0.0006169
45,0.195418,0.8040375,0.0005445
46,0.1291622,0.870303,0.0005348
