Draw Number,P(Ti),P(Tv),P(mutS)
1,0.4998706,0.3332536,0.1668758
2,0.5753495,0.2580074,0.1666431
3,0.649984,0.183354,0.166662
4,0.7274095,0.1267299,0.1458606
5,0.7965303,0.0888838,0.1145859
6,0.8518625,0.0649151,0.0832224
7,0.8927393,0.050042,0.0572187
8,0.9211564,0.0410377,0.0378059
9,0.940485,0.0354609,0.0240541
10,0.9531136,0.0319282,0.0149582
11,0.9612406,0.0296788,0.0090806
12,0.9664456,0.0280793,0.0054751
13,0.9699543,0.026822,0.0032237
14,0.9723601,0.0257682,0.0018717
15,0.9740569,0.0248773,0.0010658
16,0.9753873,0.0240076,0.0006051
17,0.9765021,0.0231487,0.0003492
18,0.9773186,0.0224796,0.0002018
19,0.9782031,0.0216856,0.0001113
20,0.9788961,0.0210444,5.95e-05
21,0.9795998,0.0203707,2.95e-05
22,0.980402,0.0195809,1.71e-05
23,0.9810398,0.0189501,1.01e-05
24,0.9817347,0.0182595,5.8e-06
25,0.9824202,0.0175761,3.7e-06
26,0.982872,0.0171266,1.4e-06
27,0.9834544,0.016545,6e-07
28,0.9841234,0.0158759,7e-07
29,0.9847183,0.0152815,2e-07
30,0.9852206,0.0147793,1e-07
31,0.9857131,0.0142868,1e-07
32,0.9862829,0.0137171,0.0
33,0.9868524,0.0131475,1e-07
34,0.987261,0.0127389,1e-07
35,0.987762,0.012238,0.0
36,0.9881589,0.0118411,0.0
37,0.988539,0.011461,0.0
38,0.9890706,0.0109294,0.0
39,0.9894425,0.0105575,0.0
40,0.9898164,0.0101836,0.0
41,0.9901814,0.0098186,0.0
42,0.9905959,0.0094041,0.0
43,0.9909307,0.0090693,0.0
44,0.9913322,0.0086678,0.0
45,0.9547214,0.0452786,0.0
46,0.838889,0.161111,0.0
