Draw Number,P(Ti),P(Tv),P(mutS)
1,0.5000587,0.3998576,0.1000837
2,0.5448718,0.3551367,0.0999915
3,0.5900377,0.3098673,0.100095
4,0.6351958,0.2647573,0.1000469
5,0.6800922,0.2197831,0.1001247
6,0.7253379,0.1778822,0.0967799
7,0.7701457,0.1409353,0.088919
8,0.8113273,0.1114023,0.0772704
9,0.8475472,0.088702,0.0637508
10,0.8779748,0.0720133,0.0500119
11,0.9024362,0.0599709,0.0375929
12,0.9206214,0.0519244,0.0274542
13,0.9344103,0.0461804,0.0194093
14,0.9442086,0.0424386,0.0133528
15,0.951098,0.0399576,0.0089444
16,0.9559488,0.038129,0.0059222
17,0.9595696,0.0365828,0.0038476
18,0.9618271,0.0357321,0.0024408
19,0.9635838,0.0348687,0.0015475
20,0.9648868,0.0341468,0.0009664
21,0.9659447,0.0334808,0.0005745
22,0.9667833,0.03286,0.0003567
23,0.9674109,0.0323795,0.0002096
24,0.9681058,0.0317679,0.0001263
25,0.9686956,0.0312297,7.47e-05
26,0.9692584,0.0306972,4.44e-05
27,0.9698047,0.0301726,2.27e-05
28,0.9704436,0.0295404,1.6e-05
29,0.9707709,0.0292204,8.7e-06
30,0.9714377,0.0285563,6e-06
31,0.9719662,0.0280295,4.3e-06
32,0.9725007,0.0274969,2.4e-06
33,0.9730766,0.0269226,8e-07
34,0.9735369,0.0264627,4e-07
35,0.9740855,0.0259143,2e-07
36,0.9745203,0.0254796,1e-07
37,0.9750253,0.0249746,1e-07
38,0.9756254,0.0243745,1e-07
39,0.9760698,0.0239302,0.0
40,0.9765341,0.0234658,1e-07
41,0.9770926,0.0229074,0.0
42,0.9775436,0.0224564,0.0
43,0.9534663,0.0465337,0.0
44,0.8792218,0.1207782,0.0
45,0.752411,0.247589,0.0
46,0.5874886,0.4125114,0.0
