Draw Number,P(Ti),P(Tv),P(mutS)
1,0.4999654,0.4782682,0.0217664
2,0.5096824,0.4685445,0.0217731
3,0.5195572,0.4587409,0.0217019
4,0.5292707,0.4489689,0.0217604
5,0.5389111,0.43926,0.0218289
6,0.5488192,0.4294535,0.0217273
7,0.5586444,0.4196034,0.0217522
8,0.5685801,0.4096372,0.0217827
9,0.578233,0.4000503,0.0217167
10,0.5879877,0.3902519,0.0217604
11,0.598054,0.3801798,0.0217662
12,0.6075763,0.3706707,0.021753
13,0.617461,0.3607701,0.0217689
14,0.627462,0.350856,0.021682
15,0.6370489,0.3411677,0.0217834
16,0.6467867,0.3315417,0.0216716
17,0.6567402,0.3215176,0.0217422
18,0.6662489,0.3120418,0.0217093
19,0.6761482,0.302147,0.0217048
20,0.6858133,0.2924607,0.021726
21,0.6954542,0.2827462,0.0217996
22,0.7052818,0.2729175,0.0218007
23,0.7152991,0.2629263,0.0217746
24,0.7252752,0.25298,0.0217448
25,0.7212598,0.2570908,0.0216494
26,0.7022254,0.2760906,0.021684
27,0.6742191,0.3040321,0.0217488
28,0.6419939,0.3362141,0.021792
29,0.6084694,0.3697507,0.0217799
30,0.5745623,0.4037257,0.021712
31,0.5398953,0.438317,0.0217877
32,0.5054395,0.4728272,0.0217333
33,0.4701899,0.5080892,0.0217209
34,0.4347562,0.543547,0.0216968
35,0.3983537,0.5800344,0.0216119
36,0.3613358,0.6168783,0.0217859
37,0.3241615,0.6541359,0.0217026
38,0.2866694,0.6916067,0.0217239
39,0.2494708,0.7287847,0.0217445
40,0.2125186,0.765718,0.0217634
41,0.1768358,0.8014476,0.0217166
42,0.142799,0.8354055,0.0217955
43,0.1105452,0.8676818,0.021773
44,0.0808072,0.897463,0.0217298
45,0.0537411,0.9245214,0.0217375
46,0.0294501,0.9489364,0.0216135
