Draw Number,P(Ti),P(Tv),P(mutS)
1,0.4999465,0.2499002,0.2501533
2,0.6125413,0.1374093,0.2500494
3,0.7320706,0.0806111,0.1873183
4,0.823693,0.0514687,0.1248383
5,0.8852902,0.0366099,0.0780999
6,0.9245847,0.02844,0.0469753
7,0.9486768,0.024005,0.0273182
8,0.9632306,0.0211189,0.0156505
9,0.9718807,0.0192766,0.0088427
10,0.9771334,0.017973,0.0048936
11,0.980469,0.0168627,0.0026683
12,0.9826193,0.015909,0.0014717
13,0.9841304,0.0150613,0.0008083
14,0.985294,0.0142697,0.0004363
15,0.9861502,0.0136302,0.0002196
16,0.9870083,0.0128705,0.0001212
17,0.9877204,0.0122186,6.1e-05
18,0.9883533,0.0116132,3.35e-05
19,0.9889534,0.0110273,1.93e-05
20,0.9895231,0.0104678,9.1e-06
21,0.990039,0.0099561,4.9e-06
22,0.9904799,0.0095161,4e-06
23,0.990984,0.009014,2e-06
24,0.9914709,0.0085285,6e-07
25,0.9918599,0.0081399,2e-07
26,0.9922484,0.0077513,3e-07
27,0.9926688,0.007331,2e-07
28,0.9930399,0.0069601,0.0
29,0.9933488,0.0066512,0.0
30,0.9937663,0.0062337,0.0
31,0.9940599,0.0059401,0.0
32,0.994383,0.005617,0.0
33,0.9946321,0.0053679,0.0
34,0.9948749,0.0051251,0.0
35,0.9951542,0.0048458,0.0
36,0.9953626,0.0046374,0.0
37,0.9956168,0.0043832,0.0
38,0.9958578,0.0041422,0.0
39,0.9960572,0.0039428,0.0
40,0.9962623,0.0037377,0.0
41,0.9964163,0.0035837,0.0
42,0.9966266,0.0033734,0.0
43,0.9967516,0.0032484,0.0
44,0.996946,0.003054,0.0
45,0.9971098,0.0028902,0.0
46,0.9447138,0.0552862,0.0
