Draw Number,P(Ti),P(Tv),P(mutS)
1,0.9000328,0.0799302,0.020037
2,0.9010102,0.0789553,0.0200345
3,0.9017854,0.0781864,0.0200282
4,0.9031613,0.0768616,0.0199771
5,0.9040181,0.0759742,0.0200077
6,0.9049605,0.0751004,0.0199391
7,0.905814,0.0741102,0.0200758
8,0.9070387,0.0729349,0.0200264
9,0.9080756,0.0719855,0.0199389
10,0.9089171,0.0710544,0.0200285
11,0.910138,0.0699131,0.0199489
12,0.9111155,0.0690205,0.019864
13,0.9121627,0.0679215,0.0199158
14,0.9131141,0.0670573,0.0198286
15,0.9141489,0.0660516,0.0197995
16,0.9152275,0.0650342,0.0197383
17,0.9163622,0.0640283,0.0196095
18,0.917525,0.0628952,0.0195798
19,0.9184333,0.0621395,0.0194272
20,0.9197465,0.0610213,0.0192322
21,0.9207641,0.0600462,0.0191897
22,0.9219301,0.0591555,0.0189144
23,0.9231062,0.058123,0.0187708
24,0.9243087,0.0570948,0.0185965
25,0.9255497,0.0560888,0.0183615
26,0.9267721,0.0552516,0.0179763
27,0.9280637,0.0541959,0.0177404
28,0.9293136,0.0532351,0.0174513
29,0.9305597,0.052256,0.0171843
30,0.9318234,0.0513397,0.0168369
31,0.9330519,0.0503969,0.0165512
32,0.9344432,0.0494348,0.016122
33,0.9356056,0.0486327,0.0157617
34,0.9370559,0.0475627,0.0153814
35,0.9381957,0.0468097,0.0149946
36,0.9396297,0.0457214,0.0146489
37,0.9409071,0.0449081,0.0141848
38,0.9422458,0.0439385,0.0138157
39,0.9436477,0.0429905,0.0133618
40,0.9446792,0.0423205,0.0130003
41,0.9461733,0.0412513,0.0125754
42,0.9353202,0.0501033,0.0145765
43,0.8581416,0.1179415,0.0239169
44,0.6876148,0.2681515,0.0442337
45,0.4660932,0.4606275,0.0732793
46,0.2622164,0.6322469,0.1055367
