Draw Number,P(Ti),P(Tv),P(mutS)
1,0.5002684,0.3996292,0.1001024
2,0.5447796,0.3552523,0.0999681
3,0.5898897,0.3100687,0.1000416
4,0.6348796,0.2651614,0.099959
5,0.6801784,0.2198041,0.1000175
6,0.7252235,0.1779114,0.0968651
7,0.7699747,0.1409583,0.089067
8,0.8112692,0.1115122,0.0772186
9,0.8478243,0.088443,0.0637327
10,0.8780011,0.0720029,0.049996
11,0.9023755,0.0599892,0.0376353
12,0.9206683,0.0519289,0.0274028
13,0.9342884,0.0463368,0.0193748
14,0.9441096,0.0425257,0.0133647
15,0.9511085,0.0398652,0.0090263
16,0.9559976,0.0380447,0.0059577
17,0.9594225,0.0367408,0.0038367
18,0.9618397,0.0356985,0.0024618
19,0.9636267,0.034839,0.0015343
20,0.9649387,0.0341065,0.0009548
21,0.9659315,0.0334845,0.000584
22,0.9668337,0.0328152,0.0003511
23,0.9674001,0.0323749,0.000225
24,0.9680494,0.0318176,0.000133
25,0.9687349,0.0311863,7.88e-05
26,0.9693339,0.0306198,4.63e-05
27,0.9698542,0.0301185,2.73e-05
28,0.9703973,0.0295862,1.65e-05
29,0.9709941,0.0289962,9.7e-06
30,0.9713019,0.0286938,4.3e-06
31,0.9720327,0.0279643,3e-06
32,0.9724694,0.0275295,1.1e-06
33,0.9730842,0.0269146,1.2e-06
34,0.973615,0.0263842,8e-07
35,0.9740729,0.0259268,3e-07
36,0.9746276,0.0253722,2e-07
37,0.9750615,0.0249383,2e-07
38,0.9756611,0.0243389,0.0
39,0.9760002,0.0239998,0.0
40,0.976457,0.023543,0.0
41,0.9770381,0.0229619,0.0
42,0.9775443,0.0224557,0.0
43,0.9534531,0.0465469,0.0
44,0.879321,0.120679,0.0
45,0.7522652,0.2477348,0.0
46,0.5878017,0.4121983,0.0
