Draw Number,P(Ti),P(Tv),P(mutS)
1,0.5999386,0.3199253,0.0801361
2,0.6282217,0.2918615,0.0799168
3,0.6559232,0.2641053,0.0799715
4,0.6838277,0.2362296,0.0799427
5,0.7120515,0.2078961,0.0800524
6,0.7401178,0.1805954,0.0792868
7,0.7682316,0.155068,0.0767004
8,0.7956783,0.1321746,0.0721471
9,0.8215567,0.1122023,0.066241
10,0.846249,0.0952192,0.0585318
11,0.868093,0.0812221,0.0506849
12,0.8872437,0.0701766,0.0425797
13,0.9032886,0.0615952,0.0351162
14,0.9169143,0.0547917,0.028294
15,0.9280807,0.0495482,0.0223711
16,0.9370528,0.0455993,0.0173479
17,0.9442001,0.0424953,0.0133046
18,0.9498312,0.0401131,0.0100557
19,0.9542034,0.0382825,0.0075141
20,0.9575849,0.0368374,0.0055777
21,0.9602411,0.0356591,0.0040998
22,0.9624109,0.0346541,0.002935
23,0.9640144,0.0338786,0.002107
24,0.965445,0.0330204,0.0015346
25,0.9665033,0.0324119,0.0010848
26,0.9675626,0.0316695,0.0007679
27,0.9683946,0.0310789,0.0005265
28,0.9691153,0.0305263,0.0003584
29,0.969848,0.0298928,0.0002592
30,0.9704611,0.0293579,0.000181
31,0.9711167,0.0287604,0.0001229
32,0.971583,0.0283333,8.37e-05
33,0.9722031,0.0277413,5.56e-05
34,0.9727449,0.0272188,3.63e-05
35,0.9733295,0.0266443,2.62e-05
36,0.9738004,0.0261833,1.63e-05
37,0.9743696,0.0256188,1.16e-05
38,0.9748525,0.0251409,6.6e-06
39,0.9753872,0.0246086,4.2e-06
40,0.9758723,0.0241237,4e-06
41,0.9764272,0.0235706,2.2e-06
42,0.976896,0.0231024,1.6e-06
43,0.9521799,0.0478196,5e-07
44,0.8758366,0.1241631,3e-07
45,0.7452859,0.2547132,9e-07
46,0.5758301,0.4241695,4e-07
