Draw Number,P(Ti),P(Tv),P(mutS)
1,0.1000408,0.7197421,0.1802171
2,0.2532603,0.5668532,0.1798865
3,0.4060514,0.4138319,0.1801167
4,0.5590943,0.2611765,0.1797292
5,0.712014,0.1080256,0.1799604
6,0.8712813,0.0549824,0.0737363
7,0.9373538,0.0420161,0.0206301
8,0.9562103,0.0391607,0.004629
9,0.9608345,0.0382576,0.0009079
10,0.9623328,0.037509,0.0001582
11,0.9629592,0.0370171,2.37e-05
12,0.9633867,0.0366089,4.4e-06
13,0.9640401,0.0359595,4e-07
14,0.9645599,0.03544,1e-07
15,0.9651096,0.0348904,0.0
16,0.965619,0.034381,0.0
17,0.9660856,0.0339144,0.0
18,0.9666653,0.0333347,0.0
19,0.9671375,0.0328625,0.0
20,0.9677079,0.0322921,0.0
21,0.968274,0.031726,0.0
22,0.9687503,0.0312497,0.0
23,0.9692092,0.0307908,0.0
24,0.9698205,0.0301795,0.0
25,0.9703387,0.0296613,0.0
26,0.9707382,0.0292618,0.0
27,0.9713623,0.0286377,0.0
28,0.9718549,0.0281451,0.0
29,0.9722699,0.0277301,0.0
30,0.9727809,0.0272191,0.0
31,0.9733696,0.0266304,0.0
32,0.973837,0.026163,0.0
33,0.9742317,0.0257683,0.0
34,0.9747591,0.0252409,0.0
35,0.9752944,0.0247056,0.0
36,0.9757486,0.0242514,0.0
37,0.9762252,0.0237748,0.0
38,0.976689,0.023311,0.0
39,0.9771252,0.0228748,0.0
40,0.9777114,0.0222886,0.0
41,0.9782232,0.0217768,0.0
42,0.9785514,0.0214486,0.0
43,0.9556549,0.0443451,0.0
44,0.8848031,0.1151969,0.0
45,0.7637957,0.2362043,0.0
46,0.6068373,0.3931627,0.0
