Draw Number,P(Ti),P(Tv),P(mutS)
1,0.3000541,0.5599763,0.1399696
2,0.3909743,0.4690831,0.1399426
3,0.4817957,0.3782315,0.1399728
4,0.5730257,0.2870135,0.1399608
5,0.6637812,0.1960229,0.1401959
6,0.7567928,0.1266993,0.1165079
7,0.8353726,0.0834546,0.0811728
8,0.8908565,0.0596754,0.0494681
9,0.9249756,0.0478644,0.02716
10,0.9441925,0.0420367,0.0137708
11,0.9542496,0.0391364,0.006614
12,0.9592025,0.0377872,0.0030103
13,0.9617217,0.0369567,0.0013216
14,0.9632394,0.0362092,0.0005514
15,0.9642145,0.035557,0.0002285
16,0.9648306,0.0350771,9.23e-05
17,0.965378,0.0345856,3.64e-05
18,0.9660605,0.0339246,1.49e-05
19,0.9665964,0.0333978,5.8e-06
20,0.9671903,0.0328073,2.4e-06
21,0.9675371,0.0324623,6e-07
22,0.9682289,0.0317707,4e-07
23,0.9687579,0.0312421,0.0
24,0.969184,0.0308159,1e-07
25,0.9697819,0.0302181,0.0
26,0.9702742,0.0297258,0.0
27,0.9708568,0.0291432,0.0
28,0.9713261,0.0286739,0.0
29,0.9718737,0.0281263,0.0
30,0.9722133,0.0277867,0.0
31,0.9728962,0.0271038,0.0
32,0.9733963,0.0266037,0.0
33,0.9738422,0.0261578,0.0
34,0.9743154,0.0256846,0.0
35,0.9748154,0.0251846,0.0
36,0.9753523,0.0246477,0.0
37,0.9759052,0.0240948,0.0
38,0.9763607,0.0236393,0.0
39,0.9767581,0.0232419,0.0
40,0.9772416,0.0227584,0.0
41,0.9776993,0.0223007,0.0
42,0.9782367,0.0217633,0.0
43,0.954976,0.045024,0.0
44,0.8831646,0.1168354,0.0
45,0.7600562,0.2399438,0.0
46,0.6004454,0.3995546,0.0
