Draw Number,P(Ti),P(Tv),P(mutS)
1,0.9499947,0.0399786,0.0100267
2,0.9499642,0.0400511,0.0099847
3,0.9500301,0.0399798,0.0099901
4,0.9500919,0.0399198,0.0099883
5,0.9500483,0.0399279,0.0100238
6,0.9500595,0.0399406,0.0099999
7,0.9500755,0.0399301,0.0099944
8,0.9499084,0.0400756,0.010016
9,0.9499044,0.0400983,0.0099973
10,0.9501122,0.0399141,0.0099737
11,0.9499938,0.0400172,0.009989
12,0.9498817,0.0400364,0.0100819
13,0.9499785,0.040019,0.0100025
14,0.950002,0.0400084,0.0099896
15,0.9501088,0.0399288,0.0099624
16,0.950097,0.0399273,0.0099757
17,0.9499701,0.0400206,0.0100093
18,0.9501832,0.0398393,0.0099775
19,0.9500838,0.0399045,0.0100117
20,0.9501133,0.0399384,0.0099483
21,0.9501675,0.0398473,0.0099852
22,0.9501812,0.039831,0.0099878
23,0.9502148,0.0398326,0.0099526
24,0.9502135,0.0398412,0.0099453
25,0.9502317,0.0397604,0.0100079
26,0.9504087,0.0396825,0.0099088
27,0.9504163,0.0396819,0.0099018
28,0.9504404,0.0396881,0.0098715
29,0.9505473,0.0395532,0.0098995
30,0.9506718,0.0394512,0.009877
31,0.9508686,0.0392792,0.0098522
32,0.9509357,0.0392175,0.0098468
33,0.9509089,0.0392586,0.0098325
34,0.9510987,0.0390959,0.0098054
35,0.9511606,0.0390884,0.009751
36,0.9516049,0.0387125,0.0096826
37,0.9516789,0.0386268,0.0096943
38,0.9516499,0.0387073,0.0096428
39,0.9520741,0.0383552,0.0095707
40,0.9522331,0.0381804,0.0095865
41,0.9522617,0.0381776,0.0095607
42,0.8365524,0.1308486,0.032599
43,0.5990567,0.320849,0.0800943
44,0.3497193,0.5203064,0.1299743
45,0.17114,0.6629994,0.1658606
46,0.0729619,0.741672,0.1853661
