Draw Number,P(Ti),P(Tv),P(mutS)
1,0.6399135,0.2880478,0.0720387
2,0.6624716,0.2655142,0.0720142
3,0.6846204,0.2434426,0.071937
4,0.707168,0.2209326,0.0718994
5,0.729211,0.1988009,0.0719881
6,0.7518023,0.1767503,0.0714474
7,0.7740527,0.1557723,0.070175
8,0.7962277,0.1362487,0.0675236
9,0.8177841,0.1185914,0.0636245
10,0.8383536,0.1032384,0.058408
11,0.8576059,0.0899083,0.0524858
12,0.8749521,0.0788371,0.0462108
13,0.8906789,0.0694381,0.039883
14,0.9040532,0.0620684,0.0338784
15,0.9159556,0.0558374,0.028207
16,0.9258195,0.0509979,0.0231826
17,0.9340127,0.0470802,0.0189071
18,0.9409806,0.0438831,0.0151363
19,0.9467265,0.0413352,0.0119383
20,0.9512479,0.0394318,0.0093203
21,0.9549453,0.0377584,0.0072963
22,0.9581171,0.0362829,0.0056
23,0.9606487,0.0350856,0.0042657
24,0.9623909,0.0343709,0.0032382
25,0.9641749,0.0333899,0.0024352
26,0.965575,0.0325894,0.0018356
27,0.9667901,0.0318384,0.0013715
28,0.9677761,0.0312081,0.0010158
29,0.9686694,0.0305715,0.0007591
30,0.9695527,0.0299003,0.000547
31,0.9702061,0.0293941,0.0003998
32,0.9709136,0.0287948,0.0002916
33,0.9715287,0.0282534,0.0002179
34,0.9721843,0.0276669,0.0001488
35,0.9728048,0.0270897,0.0001055
36,0.9733547,0.0265661,7.92e-05
37,0.9739064,0.0260429,5.07e-05
38,0.9743752,0.0255829,4.19e-05
39,0.9749938,0.0249801,2.61e-05
40,0.9754289,0.0245517,1.94e-05
41,0.9760778,0.023908,1.42e-05
42,0.9764798,0.0235104,9.8e-06
43,0.9514335,0.048559,7.5e-06
44,0.8739851,0.1260099,5e-06
45,0.7411176,0.2588775,4.9e-06
46,0.5689317,0.4310605,7.8e-06
