Draw Number,P(Ti),P(Tv),P(mutS)
1,0.7000436,0.2399645,0.0599919
2,0.7148318,0.2251408,0.0600274
3,0.7300304,0.2100203,0.0599493
4,0.7450685,0.1949594,0.0599721
5,0.7599786,0.1801448,0.0598766
6,0.7751846,0.1649537,0.0598617
7,0.7899203,0.1507487,0.059331
8,0.8051217,0.1366406,0.0582377
9,0.8200611,0.123385,0.0565539
10,0.8346863,0.1112527,0.054061
11,0.8489356,0.1001118,0.0509526
12,0.8626318,0.0899916,0.0473766
13,0.8751919,0.0814138,0.0433943
14,0.8869929,0.0736988,0.0393083
15,0.897858,0.0670784,0.0350636
16,0.9078788,0.0612411,0.0308801
17,0.9167121,0.0562437,0.0270442
18,0.9243485,0.0522589,0.0233926
19,0.9313376,0.0486993,0.0199631
20,0.9372938,0.0457696,0.0169366
21,0.9424436,0.0433104,0.014246
22,0.9469601,0.0410912,0.0119487
23,0.9508724,0.0392132,0.0099144
24,0.9541193,0.0376971,0.0081836
25,0.9569724,0.0363831,0.0066445
26,0.9593842,0.0352077,0.0054081
27,0.9613503,0.0342228,0.0044269
28,0.9632521,0.0332133,0.0035346
29,0.9647584,0.0323974,0.0028442
30,0.9661528,0.031585,0.0022622
31,0.96744,0.0307401,0.0018199
32,0.9684023,0.0301526,0.0014451
33,0.9694758,0.0293857,0.0011385
34,0.9703088,0.0288081,0.0008831
35,0.9710468,0.028243,0.0007102
36,0.971966,0.0274944,0.0005396
37,0.9726512,0.0269281,0.0004207
38,0.9732449,0.026425,0.0003301
39,0.9738288,0.0259058,0.0002654
40,0.9745112,0.0252882,0.0002006
41,0.9749914,0.0248502,0.0001584
42,0.9756043,0.0242813,0.0001144
43,0.9497072,0.0502023,9.05e-05
44,0.8695042,0.1304183,7.75e-05
45,0.7324437,0.2674732,8.31e-05
46,0.5544999,0.445365,0.0001351
