Draw Number,P(Ti),P(Tv),P(mutS)
1,0.1998773,0.6399566,0.1601661
2,0.3200488,0.5201104,0.1598408
3,0.4401055,0.3999801,0.1599144
4,0.5600294,0.2799954,0.1599752
5,0.6798976,0.1600624,0.16004
6,0.8033308,0.0890977,0.1075715
7,0.887836,0.0569447,0.0552193
8,0.9315361,0.0447771,0.0236868
9,0.9509248,0.0400513,0.0090239
10,0.9585249,0.0383733,0.0031018
11,0.9614615,0.0375254,0.0010131
12,0.9628993,0.0367855,0.0003152
13,0.9636356,0.0362715,9.29e-05
14,0.9642827,0.0356891,2.82e-05
15,0.9647294,0.0352633,7.3e-06
16,0.9652906,0.0347068,2.6e-06
17,0.9658696,0.0341296,8e-07
18,0.9662702,0.0337298,0.0
19,0.9669223,0.0330776,1e-07
20,0.9675232,0.0324768,0.0
21,0.9679312,0.0320688,0.0
22,0.9684694,0.0315306,0.0
23,0.9690323,0.0309677,0.0
24,0.9695722,0.0304278,0.0
25,0.9699621,0.0300379,0.0
26,0.9704952,0.0295048,0.0
27,0.9710953,0.0289047,0.0
28,0.9715746,0.0284254,0.0
29,0.9720561,0.0279439,0.0
30,0.972589,0.027411,0.0
31,0.973202,0.026798,0.0
32,0.9736183,0.0263817,0.0
33,0.9741334,0.0258666,0.0
34,0.9746541,0.0253459,0.0
35,0.9750236,0.0249764,0.0
36,0.9756231,0.0243769,0.0
37,0.9760757,0.0239243,0.0
38,0.976567,0.023433,0.0
39,0.9769452,0.0230548,0.0
40,0.9775337,0.0224663,0.0
41,0.9779888,0.0220112,0.0
42,0.9784217,0.0215783,0.0
43,0.9553361,0.0446639,0.0
44,0.8842759,0.1157241,0.0
45,0.7624339,0.2375661,0.0
46,0.6043945,0.3956055,0.0
