Draw Number,P(Ti),P(Tv),P(mutS)
1,0.6402404,0.2877913,0.0719683
2,0.6651207,0.2630047,0.0718746
3,0.6903137,0.2376205,0.0720658
4,0.7156701,0.2121585,0.0721714
5,0.7409287,0.1870863,0.071985
6,0.765851,0.1624359,0.0717131
7,0.7913287,0.1386063,0.070065
8,0.8158919,0.1166892,0.0674189
9,0.8392436,0.0972517,0.0635047
10,0.8617373,0.0798516,0.0584111
11,0.8825501,0.0650253,0.0524246
12,0.9009393,0.0527794,0.0462813
13,0.9175372,0.0425998,0.039863
14,0.9315349,0.0345817,0.0338834
15,0.9435035,0.0282312,0.0282653
16,0.9536469,0.023165,0.0231881
17,0.9618539,0.0193581,0.018788
18,0.9685109,0.0163915,0.0150976
19,0.9739948,0.0140932,0.011912
20,0.9781861,0.012491,0.0093229
21,0.981531,0.0111845,0.0072845
22,0.9841346,0.0102675,0.0055979
23,0.9862276,0.0094889,0.0042835
24,0.9877678,0.0089999,0.0032323
25,0.9889103,0.0086094,0.0024803
26,0.9898221,0.008348,0.0018299
27,0.9904665,0.0081632,0.0013703
28,0.9910011,0.0079889,0.00101
29,0.9913938,0.0078595,0.0007467
30,0.9916903,0.0077776,0.0005321
31,0.9918948,0.0077041,0.0004011
32,0.9920328,0.0076792,0.000288
33,0.9921806,0.007608,0.0002114
34,0.9922268,0.0076219,0.0001513
35,0.9923424,0.0075499,0.0001077
36,0.9923728,0.0075457,8.15e-05
37,0.9924067,0.00754,5.33e-05
38,0.9924759,0.0074867,3.74e-05
39,0.9924899,0.0074814,2.87e-05
40,0.9925373,0.0074428,1.99e-05
41,0.9925329,0.0074518,1.53e-05
42,0.992642,0.0073488,9.2e-06
43,0.8591015,0.1408893,9.2e-06
44,0.6706608,0.3293347,4.5e-06
45,0.4709608,0.5290354,3.8e-06
46,0.2696132,0.7303807,6.1e-06
