Draw Number,P(Ti),P(Tv),P(mutS)
1,0.6403049,0.28778,0.0719151
2,0.6441589,0.2838949,0.0719462
3,0.6484944,0.2794299,0.0720757
4,0.6529542,0.2750162,0.0720296
5,0.6571729,0.2707301,0.072097
6,0.6626967,0.265793,0.0715103
7,0.6716241,0.2583077,0.0700682
8,0.6843265,0.2482239,0.0674496
9,0.7015682,0.2348423,0.0635895
10,0.7226848,0.2189573,0.0583579
11,0.7466544,0.2008863,0.0524593
12,0.7726802,0.1810246,0.0462952
13,0.7990076,0.1610333,0.0399591
14,0.8254466,0.1406916,0.0338618
15,0.849941,0.121828,0.028231
16,0.8727419,0.1040472,0.0232109
17,0.8935459,0.0876481,0.018806
18,0.9117104,0.073244,0.0150456
19,0.9273518,0.0606731,0.0119751
20,0.9408176,0.0498425,0.0093399
21,0.9521891,0.0405813,0.0072296
22,0.9616753,0.0327225,0.0056022
23,0.9693854,0.0263283,0.0042863
24,0.9756332,0.0211034,0.0032634
25,0.9808618,0.0166859,0.0024523
26,0.9850156,0.0131467,0.0018377
27,0.9882761,0.0103387,0.0013852
28,0.9908507,0.0081274,0.0010219
29,0.9929905,0.0062689,0.0007406
30,0.9945948,0.0048699,0.0005353
31,0.9957813,0.0038141,0.0004046
32,0.9968168,0.0028993,0.0002839
33,0.9975825,0.0022102,0.0002073
34,0.9981524,0.0016952,0.0001524
35,0.9985833,0.0013068,0.0001099
36,0.9989345,0.0009896,7.59e-05
37,0.9992038,0.0007389,5.73e-05
38,0.9993887,0.0005724,3.89e-05
39,0.9995399,0.0004326,2.75e-05
40,0.9996574,0.000323,1.96e-05
41,0.9997469,0.0002404,1.27e-05
42,0.9998072,0.0001831,9.7e-06
43,0.9998619,0.0001308,7.3e-06
44,0.9998863,0.0001086,5.1e-06
45,0.9998925,0.0001035,4e-06
46,0.9998091,0.0001845,6.4e-06
