Draw Number,P(Ti),P(Tv),P(mutS)
1,0.6398222,0.2881963,0.0719815
2,0.6298969,0.2980375,0.0720656
3,0.6198746,0.308144,0.0719814
4,0.6096411,0.3182492,0.0721097
5,0.5996484,0.3284116,0.07194
6,0.5962754,0.3321566,0.071568
7,0.6045812,0.3253417,0.0700771
8,0.6258158,0.3066728,0.0675114
9,0.6582402,0.2782126,0.0635472
10,0.6978711,0.243539,0.0585899
11,0.7406375,0.2069886,0.0523739
12,0.7823367,0.171456,0.0462073
13,0.8211901,0.1388799,0.03993
14,0.8558419,0.1103117,0.0338464
15,0.8856507,0.0861842,0.0281651
16,0.9104284,0.0663668,0.0232048
17,0.9307211,0.0505386,0.0187403
18,0.9469538,0.0379658,0.0150804
19,0.9596966,0.0283926,0.0119108
20,0.969764,0.0208916,0.0093444
21,0.9772963,0.0154216,0.0072821
22,0.9831959,0.0111669,0.0056372
23,0.987543,0.0081737,0.0042833
24,0.9908626,0.0058706,0.0032668
25,0.9933733,0.0042058,0.0024209
26,0.9951385,0.0030174,0.0018441
27,0.9965043,0.0021256,0.0013701
28,0.9974747,0.0015252,0.0010001
29,0.9981761,0.0010668,0.0007571
30,0.998711,0.0007511,0.0005379
31,0.9990834,0.0005229,0.0003937
32,0.9993409,0.0003636,0.0002955
33,0.9995336,0.0002586,0.0002078
34,0.9996636,0.0001851,0.0001513
35,0.9997644,0.0001277,0.0001079
36,0.9998346,8.61e-05,7.93e-05
37,0.9998843,6.09e-05,5.48e-05
38,0.9999162,4.32e-05,4.06e-05
39,0.9999419,2.96e-05,2.85e-05
40,0.9999649,1.79e-05,1.72e-05
41,0.9999721,1.36e-05,1.43e-05
42,0.9999809,9.3e-06,9.8e-06
43,0.9999863,6.7e-06,7e-06
44,0.9999901,4.4e-06,5.5e-06
45,0.9999909,4.8e-06,4.3e-06
46,0.9999885,3.8e-06,7.7e-06
