Draw Number,P(Ti),P(Tv),P(mutS)
1,0.639878,0.2881214,0.0720006
2,0.6590416,0.2690518,0.0719066
3,0.6774132,0.2505508,0.072036
4,0.6966021,0.2314852,0.0719127
5,0.7149426,0.2130709,0.0719865
6,0.7334324,0.1949212,0.0716464
7,0.7528865,0.1769691,0.0701444
8,0.7723118,0.1603294,0.0673588
9,0.7914522,0.1449928,0.063555
10,0.8102323,0.1313824,0.0583853
11,0.8281773,0.1192673,0.0525554
12,0.8446361,0.1090708,0.0462931
13,0.8602556,0.0997737,0.0399707
14,0.8743539,0.0917977,0.0338484
15,0.8866202,0.0851365,0.0282433
16,0.8974418,0.0793816,0.0231766
17,0.9069091,0.0742184,0.0188725
18,0.9150248,0.0699564,0.0150188
19,0.9222878,0.0657933,0.0119189
20,0.9281544,0.0624427,0.0094029
21,0.9334406,0.0592798,0.0072796
22,0.9383369,0.0560992,0.0055639
23,0.9424611,0.0532382,0.0043007
24,0.9462023,0.0505746,0.0032231
25,0.9492143,0.0483413,0.0024444
26,0.9522527,0.0459024,0.0018449
27,0.9548951,0.043738,0.0013669
28,0.957519,0.0414793,0.0010017
29,0.959772,0.0394808,0.0007472
30,0.9619034,0.0375482,0.0005484
31,0.9639391,0.035659,0.0004019
32,0.9659355,0.0337725,0.000292
33,0.9677272,0.0320611,0.0002117
34,0.9694684,0.0303752,0.0001564
35,0.971028,0.0288619,0.0001101
36,0.9726282,0.0272943,7.75e-05
37,0.9741913,0.0257505,5.82e-05
38,0.9756078,0.024352,4.02e-05
39,0.9769322,0.0230394,2.84e-05
40,0.9781213,0.0218582,2.05e-05
41,0.9795059,0.0204794,1.47e-05
42,0.9806641,0.0193258,1.01e-05
43,0.9787528,0.0212402,7e-06
44,0.9646199,0.0353751,5e-06
45,0.9247584,0.0752362,5.4e-06
46,0.8480688,0.151924,7.2e-06
