Draw Number,P(Ti),P(Tv),P(mutS)
1,0.6400694,0.2878933,0.0720373
2,0.6517113,0.2763964,0.0718923
3,0.6629126,0.2650649,0.0720225
4,0.674714,0.2533604,0.0719256
5,0.6859362,0.2420189,0.0720449
6,0.6980983,0.2303742,0.0715275
7,0.7117118,0.218124,0.0701642
8,0.7260886,0.2064729,0.0674385
9,0.7421767,0.1942358,0.0635875
10,0.760083,0.1815511,0.0583659
11,0.7786687,0.1688699,0.0524614
12,0.7974467,0.1563126,0.0462407
13,0.8161896,0.1438374,0.039973
14,0.834335,0.1317635,0.0339015
15,0.8521458,0.1197137,0.0281405
16,0.8683849,0.1083755,0.0232396
17,0.8832729,0.0978322,0.0188949
18,0.8971864,0.0877464,0.0150672
19,0.9096197,0.0784718,0.0119085
20,0.9208453,0.0698192,0.0093355
21,0.9308142,0.0619704,0.0072154
22,0.9395709,0.0547906,0.0056385
23,0.9474867,0.0482134,0.0042999
24,0.9542876,0.0424457,0.0032667
25,0.9603021,0.037246,0.0024519
26,0.965587,0.0325536,0.0018594
27,0.9702374,0.0283989,0.0013637
28,0.9744245,0.0245676,0.0010079
29,0.9778324,0.0214266,0.000741
30,0.980844,0.0186125,0.0005435
31,0.9834831,0.0161159,0.000401
32,0.9858413,0.0138715,0.0002872
33,0.9878523,0.0119354,0.0002123
34,0.9895674,0.0102758,0.0001568
35,0.9910805,0.0088103,0.0001092
36,0.9923406,0.0075758,8.36e-05
37,0.9934395,0.0065054,5.51e-05
38,0.9944248,0.0055342,4.1e-05
39,0.9952635,0.0047084,2.81e-05
40,0.995944,0.0040364,1.96e-05
41,0.9965953,0.0033911,1.36e-05
42,0.9970766,0.0029121,1.13e-05
43,0.9974881,0.0025043,7.6e-06
44,0.9975896,0.0024045,5.9e-06
45,0.9965744,0.0034216,4e-06
46,0.9924553,0.0075379,6.8e-06
