Draw Number,P(Ti),P(Tv),P(mutS)
1,0.639975,0.2401797,0.1198453
2,0.6770326,0.2028957,0.1200717
3,0.7144807,0.1656739,0.1198454
4,0.7524244,0.1331203,0.1144553
5,0.7897438,0.1065966,0.1036596
6,0.8240154,0.0860714,0.0899132
7,0.8545086,0.0702142,0.0752772
8,0.8804909,0.0582893,0.0612198
9,0.9019801,0.0494636,0.0485563
10,0.9192818,0.0429695,0.0377487
11,0.9330374,0.0381257,0.0288369
12,0.9436559,0.0345622,0.0217819
13,0.9521102,0.0316794,0.0162104
14,0.9585929,0.0294044,0.0120027
15,0.9635404,0.0277021,0.0087575
16,0.9673102,0.0263808,0.006309
17,0.9705001,0.0249919,0.004508
18,0.9727474,0.0240108,0.0032418
19,0.9746549,0.0230334,0.0023117
20,0.9762333,0.0221361,0.0016306
21,0.9775566,0.0212817,0.0011617
22,0.9786144,0.0205808,0.0008048
23,0.9795989,0.0198218,0.0005793
24,0.9804322,0.0191718,0.000396
25,0.9812161,0.0185035,0.0002804
26,0.9819503,0.017868,0.0001817
27,0.9826911,0.0171784,0.0001305
28,0.9833335,0.01658,8.65e-05
29,0.9838778,0.0160578,6.44e-05
30,0.9845516,0.0154043,4.41e-05
31,0.9850923,0.0148794,2.83e-05
32,0.9856364,0.0143436,2e-05
33,0.9862096,0.0137789,1.15e-05
34,0.9866533,0.0133396,7.1e-06
35,0.9871975,0.0127956,6.9e-06
36,0.987693,0.012303,4e-06
37,0.9881147,0.011883,2.3e-06
38,0.9885397,0.0114588,1.5e-06
39,0.9890069,0.010991,2.1e-06
40,0.9894292,0.0105689,1.9e-06
41,0.9897906,0.0102091,3e-07
42,0.9901331,0.0098666,3e-07
43,0.9906074,0.0093921,5e-07
44,0.990971,0.0090286,4e-07
45,0.9528423,0.0471577,0.0
46,0.8319445,0.168055,5e-07
