Draw Number,P(Ti),P(Tv),P(mutS)
1,0.6401814,0.319892,0.0399266
2,0.6525142,0.3075426,0.0399432
3,0.6648809,0.2951382,0.0399809
4,0.6770302,0.2829786,0.0399912
5,0.6894586,0.2705312,0.0400102
6,0.7020642,0.2579577,0.0399781
7,0.7142973,0.2457575,0.0399452
8,0.72677,0.2331561,0.0400739
9,0.7389286,0.2209671,0.0401043
10,0.7517099,0.2085205,0.0397696
11,0.7637286,0.1962929,0.0399785
12,0.7763837,0.1837075,0.0399088
13,0.7887205,0.1716009,0.0396786
14,0.8010885,0.1595347,0.0393768
15,0.8133557,0.1477439,0.0389004
16,0.8253405,0.1365768,0.0380827
17,0.8375523,0.1255521,0.0368956
18,0.8493392,0.1153767,0.0352841
19,0.8603355,0.1060625,0.033602
20,0.871279,0.0971723,0.0315487
21,0.8814363,0.0892274,0.0293363
22,0.8912202,0.0818885,0.0268913
23,0.9000893,0.0755912,0.0243195
24,0.9078739,0.0701682,0.0219579
25,0.9153427,0.0653089,0.0193484
26,0.921982,0.0610252,0.0169928
27,0.9278172,0.0574071,0.0147757
28,0.9328998,0.0543419,0.0127583
29,0.9372553,0.0518897,0.010855
30,0.9412039,0.0496963,0.0090998
31,0.9445067,0.0478483,0.007645
32,0.9474511,0.046148,0.0064009
33,0.9499033,0.044827,0.0052697
34,0.9518208,0.0438126,0.0043666
35,0.9535985,0.0428808,0.0035207
36,0.9551164,0.0420535,0.0028301
37,0.9564342,0.0412761,0.0022897
38,0.9575218,0.0406747,0.0018035
39,0.9409956,0.0575343,0.0014701
40,0.8922557,0.1066014,0.0011429
41,0.8125497,0.1865466,0.0009037
42,0.7128652,0.2864107,0.0007241
43,0.602932,0.3964852,0.0005828
44,0.4891067,0.5103891,0.0005042
45,0.3734203,0.6260405,0.0005392
46,0.2574426,0.741865,0.0006924
