Draw Number,P(Ti),P(Tv),P(mutS)
1,0.6400128,0.3359778,0.0240094
2,0.6473463,0.3286207,0.024033
3,0.6549328,0.3210785,0.0239887
4,0.662216,0.3138098,0.0239742
5,0.6696967,0.3063683,0.023935
6,0.67685,0.299117,0.024033
7,0.6849081,0.2910267,0.0240652
8,0.6918218,0.2841762,0.024002
9,0.6996622,0.2763315,0.0240063
10,0.7069953,0.2690253,0.0239794
11,0.7142577,0.2617958,0.0239465
12,0.7221181,0.2539076,0.0239743
13,0.7293315,0.2466902,0.0239783
14,0.7367445,0.2393853,0.0238702
15,0.7439293,0.2319936,0.0240771
16,0.7516359,0.2243667,0.0239974
17,0.7589607,0.2170298,0.0240095
18,0.7663936,0.2096129,0.0239935
19,0.7738981,0.2021063,0.0239956
20,0.7813399,0.1946754,0.0239847
21,0.7889049,0.1871063,0.0239888
22,0.7962993,0.1796692,0.0240315
23,0.8037884,0.1722645,0.0239471
24,0.8110884,0.165001,0.0239106
25,0.818573,0.1575751,0.0238519
26,0.8259991,0.1502689,0.023732
27,0.8333,0.1432356,0.0234644
28,0.8405075,0.1362152,0.0232773
29,0.8478852,0.1291321,0.0229827
30,0.8550572,0.1224861,0.0224567
31,0.8619747,0.1159382,0.0220871
32,0.8692849,0.109205,0.0215101
33,0.861507,0.1177687,0.0207243
34,0.8316339,0.1484728,0.0198933
35,0.7840145,0.1969157,0.0190698
36,0.7261483,0.2558393,0.0180124
37,0.6635859,0.3193042,0.0171099
38,0.5983144,0.3854889,0.0161967
39,0.5313522,0.4532067,0.0154411
40,0.4633666,0.5218371,0.0147963
41,0.3944702,0.5909718,0.014558
42,0.3252597,0.659977,0.0147633
43,0.2572882,0.7272708,0.015441
44,0.1917063,0.7917344,0.0165593
45,0.1305305,0.851296,0.0181735
46,0.0751084,0.904724,0.0201676
