Draw Number,P(Ti),P(Tv),P(mutS)
1,0.6396774,0.3152335,0.0450891
2,0.6540571,0.3010176,0.0449253
3,0.6677673,0.2872539,0.0449788
4,0.6817338,0.2732192,0.045047
5,0.6958564,0.2591898,0.0449538
6,0.7097476,0.2452848,0.0449676
7,0.7236226,0.2312978,0.0450796
8,0.7376445,0.217236,0.0451195
9,0.751607,0.2033469,0.0450461
10,0.7654085,0.1896088,0.0449827
11,0.779645,0.175614,0.044741
12,0.7936121,0.1620046,0.0443833
13,0.8073831,0.1490269,0.04359
14,0.8210384,0.1362825,0.0426791
15,0.8346024,0.1244721,0.0409255
16,0.8475151,0.1133561,0.0391288
17,0.860078,0.1031157,0.0368063
18,0.8722672,0.0936245,0.0341083
19,0.8831514,0.0854392,0.0314094
20,0.8934447,0.0781004,0.0284549
21,0.9029218,0.0717311,0.0253471
22,0.9115284,0.0661261,0.0223455
23,0.9189493,0.0615245,0.0195262
24,0.9256404,0.0574948,0.0168648
25,0.9316252,0.0539846,0.0143902
26,0.9364496,0.0513958,0.0121546
27,0.9409251,0.0488875,0.0101874
28,0.9446475,0.0469025,0.00845
29,0.9478621,0.0452074,0.0069305
30,0.9504441,0.0438645,0.0056914
31,0.9528855,0.0425395,0.004575
32,0.9546742,0.0416479,0.0036779
33,0.9563198,0.0407232,0.002957
34,0.9575753,0.040082,0.0023427
35,0.9587355,0.0393975,0.001867
36,0.9597895,0.038793,0.0014175
37,0.9606999,0.0381691,0.001131
38,0.9614156,0.0377002,0.0008842
39,0.962051,0.0372757,0.0006733
40,0.9441353,0.0553324,0.0005323
41,0.8904448,0.1091512,0.000404
42,0.8022162,0.1974677,0.0003161
43,0.6908206,0.308934,0.0002454
44,0.5677966,0.4320065,0.0001969
45,0.4397448,0.5600498,0.0002054
46,0.3098423,0.6898872,0.0002705
