Draw Number,P(Ti),P(Tv),P(mutS)
1,0.6398653,0.2880997,0.072035
2,0.6621746,0.2658795,0.0719459
3,0.6845876,0.2433859,0.0720265
4,0.7071089,0.2209168,0.0719743
5,0.7292875,0.1985022,0.0722103
6,0.7515399,0.1767691,0.071691
7,0.7743339,0.1555527,0.0701134
8,0.7963595,0.1361633,0.0674772
9,0.8178213,0.1186608,0.0635179
10,0.8387019,0.103014,0.0582841
11,0.8576642,0.089973,0.0523628
12,0.8748662,0.0788762,0.0462576
13,0.8906477,0.069494,0.0398583
14,0.9043371,0.0618864,0.0337765
15,0.9159198,0.0557863,0.0282939
16,0.9258956,0.0509056,0.0231988
17,0.9339742,0.0472248,0.018801
18,0.9409053,0.0439838,0.0151109
19,0.9465994,0.0415198,0.0118808
20,0.9511645,0.0394733,0.0093622
21,0.9549012,0.0378004,0.0072984
22,0.9579531,0.0364492,0.0055977
23,0.9605102,0.0351914,0.0042984
24,0.9625159,0.0342307,0.0032534
25,0.9641364,0.0334139,0.0024497
26,0.9654792,0.0326727,0.0018481
27,0.9668206,0.0318216,0.0013578
28,0.9678808,0.031115,0.0010042
29,0.9686618,0.0305904,0.0007478
30,0.9695642,0.0298924,0.0005434
31,0.9702582,0.0293511,0.0003907
32,0.9708463,0.0288639,0.0002898
33,0.9715843,0.0282064,0.0002093
34,0.9721834,0.0276611,0.0001555
35,0.9726812,0.0272112,0.0001076
36,0.9732814,0.0266423,7.63e-05
37,0.9739053,0.0260374,5.73e-05
38,0.974422,0.0255377,4.03e-05
39,0.9749454,0.0250246,3e-05
40,0.975536,0.0244423,2.17e-05
41,0.9760639,0.0239215,1.46e-05
42,0.9764158,0.0235755,8.7e-06
43,0.9514477,0.0485452,7.1e-06
44,0.8739584,0.1260365,5.1e-06
45,0.741274,0.258723,3e-06
46,0.5690189,0.4309754,5.7e-06
