Draw Number,P(Ti),P(Tv),P(mutS)
1,0.6398584,0.3086521,0.0514895
2,0.6559005,0.2925568,0.0515427
3,0.6722683,0.2764386,0.0512931
4,0.6878624,0.2607045,0.0514331
5,0.7036533,0.2449408,0.0514059
6,0.7195211,0.2289701,0.0515088
7,0.7356058,0.212855,0.0515392
8,0.7518772,0.1967461,0.0513767
9,0.767834,0.1810696,0.0510964
10,0.7834303,0.1658896,0.0506801
11,0.799519,0.1507472,0.0497338
12,0.81513,0.1363695,0.0485005
13,0.8303717,0.1231117,0.0465166
14,0.8455464,0.1107159,0.0437377
15,0.8593557,0.0997631,0.0408812
16,0.8728438,0.0897687,0.0373875
17,0.8850942,0.0810634,0.0338424
18,0.8963311,0.0736633,0.0300056
19,0.9065369,0.0670971,0.026366
20,0.9152337,0.0618445,0.0229218
21,0.9231091,0.0572666,0.0196243
22,0.929848,0.0535906,0.0165614
23,0.9358655,0.0502975,0.013837
24,0.9408486,0.0477536,0.0113978
25,0.9450926,0.0454994,0.009408
26,0.9484633,0.0438979,0.0076388
27,0.9514063,0.0424394,0.0061543
28,0.9540246,0.041076,0.0048994
29,0.956006,0.0400965,0.0038975
30,0.9576274,0.0392869,0.0030857
31,0.9592292,0.0383857,0.0023851
32,0.9604278,0.0376895,0.0018827
33,0.9614659,0.0371022,0.0014319
34,0.9622588,0.036614,0.0011272
35,0.9631213,0.0360266,0.0008521
36,0.9639155,0.0354293,0.0006552
37,0.9645424,0.0349915,0.0004661
38,0.965085,0.0345433,0.0003717
39,0.9656384,0.0340893,0.0002723
40,0.9660764,0.0337215,0.0002021
41,0.9464807,0.0533652,0.0001541
42,0.886923,0.1129568,0.0001202
43,0.7881751,0.211741,8.39e-05
44,0.6622702,0.3376586,7.12e-05
45,0.5222322,0.4776977,7.01e-05
46,0.3760929,0.6238158,9.13e-05
