Draw Number,P(Ti),P(Tv),P(mutS)
1,0.6399304,0.1801213,0.1799483
2,0.6955092,0.1242258,0.180265
3,0.7553963,0.0880144,0.1565893
4,0.808793,0.0644359,0.1267711
5,0.8529026,0.0490013,0.0980961
6,0.8878124,0.0386066,0.073581
7,0.9140909,0.0317322,0.0541769
8,0.9339787,0.0269213,0.0391
9,0.9485617,0.0235757,0.0278626
10,0.959397,0.0209514,0.0196516
11,0.9672173,0.0190582,0.0137245
12,0.9728289,0.0175857,0.0095854
13,0.9769906,0.0164085,0.0066009
14,0.9801169,0.0153813,0.0045018
15,0.9825407,0.0143943,0.003065
16,0.9842383,0.0136561,0.0021056
17,0.9856614,0.0129166,0.001422
18,0.9867955,0.0122396,0.0009649
19,0.9877783,0.0115638,0.0006579
20,0.9885245,0.0110341,0.0004414
21,0.9893881,0.0103163,0.0002956
22,0.9899079,0.0098928,0.0001993
23,0.9904843,0.009382,0.0001337
24,0.99097,0.0089362,9.38e-05
25,0.9914958,0.0084475,5.67e-05
26,0.9919428,0.0080209,3.63e-05
27,0.9922864,0.0076905,2.31e-05
28,0.9927427,0.0072413,1.6e-05
29,0.9930844,0.0069042,1.14e-05
30,0.9934369,0.0065557,7.4e-06
31,0.9937433,0.0062512,5.5e-06
32,0.9940589,0.0059384,2.7e-06
33,0.9943793,0.0056186,2.1e-06
34,0.9946723,0.0053261,1.6e-06
35,0.9948859,0.005113,1.1e-06
36,0.9951641,0.0048347,1.2e-06
37,0.9954101,0.0045897,2e-07
38,0.9956879,0.0043117,4e-07
39,0.9958691,0.0041305,4e-07
40,0.9960849,0.003915,1e-07
41,0.9962522,0.0037478,0.0
42,0.9964283,0.0035717,0.0
43,0.9966076,0.0033924,0.0
44,0.9967961,0.0032039,0.0
45,0.9969748,0.0030252,0.0
46,0.9421813,0.0578186,1e-07
