Draw Number,P(Ti),P(Tv),P(mutS)
1,0.6398323,0.324171,0.0359967
2,0.6510618,0.3130242,0.035914
3,0.6621658,0.3018272,0.036007
4,0.6737321,0.2902947,0.0359732
5,0.6844975,0.2794592,0.0360433
6,0.6955674,0.2683632,0.0360694
7,0.7071501,0.256925,0.0359249
8,0.7183491,0.245622,0.0360289
9,0.728966,0.2350317,0.0360023
10,0.7403581,0.2236544,0.0359875
11,0.7519093,0.2122332,0.0358575
12,0.7626296,0.2014675,0.0359029
13,0.7738227,0.1901863,0.035991
14,0.7849016,0.1792686,0.0358298
15,0.7963912,0.1678199,0.0357889
16,0.807324,0.1572027,0.0354733
17,0.8184765,0.1465707,0.0349528
18,0.829292,0.1363654,0.0343426
19,0.8399157,0.1265944,0.0334899
20,0.8507709,0.1169114,0.0323177
21,0.8609614,0.1081312,0.0309074
22,0.8708222,0.0999019,0.0292759
23,0.8802792,0.092355,0.0273658
24,0.8890496,0.0854241,0.0255263
25,0.897411,0.0792206,0.0233684
26,0.9052008,0.0735154,0.0212838
27,0.9121752,0.0686796,0.0191452
28,0.9185308,0.0644431,0.0170261
29,0.9243386,0.0606485,0.0150129
30,0.9294658,0.0574473,0.0130869
31,0.9340188,0.0546221,0.0113591
32,0.9380273,0.0521897,0.009783
33,0.9414125,0.0502771,0.0083104
34,0.9445847,0.0484384,0.0069769
35,0.946995,0.0470672,0.0059378
36,0.9493382,0.0457833,0.0048785
37,0.9513406,0.0445877,0.0040717
38,0.9363236,0.0603532,0.0033232
39,0.8914301,0.1058108,0.0027591
40,0.8188164,0.1789931,0.0021905
41,0.7286277,0.2695823,0.00179
42,0.6297893,0.3687291,0.0014816
43,0.5270389,0.4717034,0.0012577
44,0.4230755,0.5757523,0.0011722
45,0.3189361,0.6798215,0.0012424
46,0.214897,0.7835294,0.0015736
