Draw Number,P(Ti),P(Tv),P(mutS)
1,0.6398274,0.0,0.3601726
2,0.7695804,0.0,0.2304196
3,0.8524854,0.0,0.1475146
4,0.9056508,0.0,0.0943492
5,0.9396769,0.0,0.0603231
6,0.961366,0.0,0.038634
7,0.9753079,0.0,0.0246921
8,0.9841614,0.0,0.0158386
9,0.9898999,0.0,0.0101001
10,0.9935256,0.0,0.0064744
11,0.9958514,0.0,0.0041486
12,0.9973541,0.0,0.0026459
13,0.9982979,0.0,0.0017021
14,0.9989225,0.0,0.0010775
15,0.9993113,0.0,0.0006887
16,0.9995651,0.0,0.0004349
17,0.9997138,0.0,0.0002862
18,0.9998221,0.0,0.0001779
19,0.9998836,0.0,0.0001164
20,0.9999264,0.0,7.36e-05
21,0.9999528,0.0,4.72e-05
22,0.9999701,0.0,2.99e-05
23,0.9999818,0.0,1.82e-05
24,0.9999869,0.0,1.31e-05
25,0.9999906,0.0,9.4e-06
26,0.9999955,0.0,4.5e-06
27,0.9999968,0.0,3.2e-06
28,0.9999986,0.0,1.4e-06
29,0.9999989,0.0,1.1e-06
30,0.9999995,0.0,5e-07
31,0.9999996,0.0,4e-07
32,0.9999996,0.0,4e-07
33,0.9999996,0.0,4e-07
34,1.0,0.0,0.0
35,0.9999999,0.0,1e-07
36,0.9999999,0.0,1e-07
37,1.0,0.0,0.0
38,1.0,0.0,0.0
39,1.0,0.0,0.0
40,1.0,0.0,0.0
41,1.0,0.0,0.0
42,1.0,0.0,0.0
43,1.0,0.0,0.0
44,1.0,0.0,0.0
45,1.0,0.0,0.0
46,1.0,0.0,0.0
