Draw Number,P(Ti),P(Tv),P(mutS)
1,0.6401092,0.3000249,0.0598659
2,0.6584208,0.2814016,0.0601776
3,0.6772549,0.2628551,0.05989
4,0.6957243,0.244425,0.0598507
5,0.714493,0.2255419,0.0599651
6,0.732815,0.2071384,0.0600466
7,0.751456,0.1886864,0.0598576
8,0.7702594,0.1703667,0.0593739
9,0.7887221,0.1530233,0.0582546
10,0.8070775,0.1365055,0.056417
11,0.8253166,0.1212474,0.053436
12,0.8424674,0.1074166,0.050116
13,0.8584475,0.0955806,0.0459719
14,0.8736899,0.0849287,0.0413814
15,0.8873371,0.0760494,0.0366135
16,0.8998079,0.0683019,0.0318902
17,0.9105741,0.0621402,0.0272857
18,0.9199642,0.0568913,0.0231445
19,0.9280035,0.0526293,0.0193672
20,0.9348988,0.0491049,0.0159963
21,0.9407217,0.0461997,0.0130786
22,0.9456557,0.0437962,0.0105481
23,0.9496069,0.0419746,0.0084185
24,0.9529697,0.040413,0.0066173
25,0.9556054,0.039106,0.0052886
26,0.9578314,0.0380547,0.0041139
27,0.9597609,0.0370426,0.0031965
28,0.9613461,0.036244,0.0024099
29,0.9626134,0.0355325,0.0018541
30,0.9636355,0.0349582,0.0014063
31,0.964644,0.0342793,0.0010767
32,0.9655946,0.0336095,0.0007959
33,0.9662203,0.0331765,0.0006032
34,0.9670442,0.0325004,0.0004554
35,0.9675934,0.0320809,0.0003257
36,0.9680551,0.0316911,0.0002538
37,0.968671,0.0311472,0.0001818
38,0.9692551,0.0306135,0.0001314
39,0.9697814,0.0301265,9.21e-05
40,0.970198,0.0297313,7.07e-05
41,0.9707853,0.0291638,5.09e-05
42,0.9487164,0.0512458,3.78e-05
43,0.8820379,0.1179367,2.54e-05
44,0.769098,0.2308809,2.11e-05
45,0.6241489,0.3758327,1.84e-05
46,0.4615705,0.5384033,2.62e-05
