Draw Number,P(Ti),P(Tv),P(mutS)
1,0.6402553,0.3440485,0.0156962
2,0.6446339,0.3397318,0.0156343
3,0.6496828,0.3346838,0.0156334
4,0.6546558,0.3297152,0.015629
5,0.659401,0.3249278,0.0156712
6,0.6643866,0.3199734,0.01564
7,0.6691424,0.3152415,0.0156161
8,0.6740835,0.3103277,0.0155888
9,0.6788645,0.3054415,0.015694
10,0.6833705,0.3009555,0.015674
11,0.6882493,0.2961513,0.0155994
12,0.6932292,0.2910776,0.0156932
13,0.6980876,0.2861692,0.0157432
14,0.7029232,0.2814279,0.0156489
15,0.7078528,0.2765241,0.0156231
16,0.7128519,0.2714841,0.015664
17,0.7176877,0.2666157,0.0156966
18,0.722406,0.2620476,0.0155464
19,0.7270797,0.2572786,0.0156417
20,0.7321117,0.252299,0.0155893
21,0.7372795,0.2470849,0.0156356
22,0.7416388,0.2427044,0.0156568
23,0.7469727,0.237414,0.0156133
24,0.7516655,0.2327296,0.0156049
25,0.7424217,0.2420029,0.0155754
26,0.7161765,0.2681598,0.0156637
27,0.6792183,0.3049316,0.0158501
28,0.6358983,0.3480677,0.016034
29,0.5876071,0.3958188,0.0165741
30,0.5347944,0.4479172,0.0172884
31,0.4777107,0.5037858,0.0185035
32,0.4173749,0.5625263,0.0200988
33,0.3552712,0.6226318,0.022097
34,0.2940883,0.6815022,0.0244095
35,0.2366345,0.7365916,0.0267739
36,0.1845548,0.7861795,0.0292657
37,0.1394163,0.8287445,0.0318392
38,0.1019806,0.8638706,0.0341488
39,0.0721295,0.8918728,0.0359977
40,0.0492078,0.9130258,0.0377664
41,0.0323207,0.9284957,0.0391836
42,0.0203635,0.9393349,0.0403016
43,0.0122606,0.9466608,0.0410786
44,0.0069662,0.9512953,0.0417385
45,0.0035767,0.9542765,0.0421468
46,0.0015155,0.9562532,0.0422313
