Draw Number,P(Ti),P(Tv),P(mutS)
1,0.6399486,0.27016,0.0898914
2,0.6676062,0.2423922,0.0900016
3,0.6956893,0.2142492,0.0900615
4,0.723645,0.1862886,0.0900664
5,0.7517358,0.1596151,0.0886491
6,0.7797719,0.1354558,0.0847723
7,0.8073228,0.1143349,0.0783423
8,0.8328435,0.0966914,0.0704651
9,0.8564612,0.0820141,0.0615247
10,0.8770051,0.0704559,0.052539
11,0.8951796,0.0610141,0.0438063
12,0.9103239,0.0538692,0.0358069
13,0.922992,0.048178,0.02883
14,0.9333998,0.0437836,0.0228166
15,0.9417458,0.0404236,0.0178306
16,0.9486407,0.0376699,0.0136894
17,0.9539088,0.0355899,0.0105013
18,0.9582396,0.0337913,0.0079691
19,0.9615657,0.0324712,0.0059631
20,0.964344,0.0311951,0.0044609
21,0.9665095,0.0301882,0.0033023
22,0.9684445,0.0291251,0.0024304
23,0.9698619,0.0283734,0.0017647
24,0.971102,0.0276196,0.0012784
25,0.9722966,0.0267717,0.0009317
26,0.9731381,0.0262065,0.0006554
27,0.9739572,0.0255559,0.0004869
28,0.9748529,0.0248107,0.0003364
29,0.9755142,0.0242408,0.000245
30,0.9763069,0.0235158,0.0001773
31,0.9768435,0.0230297,0.0001268
32,0.9775412,0.0223744,8.44e-05
33,0.9780869,0.0218558,5.73e-05
34,0.9787844,0.0211739,4.17e-05
35,0.9793777,0.0205917,3.06e-05
36,0.9799271,0.0200523,2.06e-05
37,0.9804683,0.0195183,1.34e-05
38,0.9810232,0.0189675,9.3e-06
39,0.9815348,0.0184585,6.7e-06
40,0.9820233,0.0179729,3.8e-06
41,0.9825351,0.0174618,3.1e-06
42,0.9830123,0.0169858,1.9e-06
43,0.9835103,0.016488,1.7e-06
44,0.9535899,0.0464097,4e-07
45,0.8597016,0.1402977,7e-07
46,0.6976873,0.3023112,1.5e-06
